[11/06/2026] Dossier /home/romain/Romain_Perez créé avec succès
[11/06/2026] Dossier /home/romain/Romain_Perez/Documents créé avec succès
[11/06/2026] Dossier /home/romain/Romain_Perez/Projets créé avec succès
[11/06/2026] Dossier /home/romain/Romain_Perez/Archives créé avec succès
[11/06/2026] Fichier /home/romain/Romain_Perez/bienvenue.txt créé avec succès
[11/06/2026] Fichier /home/romain/Modules-CFC/M122/Séquence 6/Templates/charte.pdf copié avec succès
[11/06/2026] Fichier /home/romain/Modules-CFC/M122/Séquence 6/Templates/checklist.xlsx copié avec succès
[11/06/2026] Dossier /home/romain/Modules-CFC/M122/Séquence 6//Romain_Perez créé avec succès
[11/06/2026] Dossier /home/romain/Modules-CFC/M122/Séquence 6//Romain_Perez/Documents créé avec succès
[11/06/2026] Dossier /home/romain/Modules-CFC/M122/Séquence 6//Romain_Perez/Projets créé avec succès
[11/06/2026] Dossier /home/romain/Modules-CFC/M122/Séquence 6//Romain_Perez/Archives créé avec succès
[11/06/2026] Fichier /home/romain/Modules-CFC/M122/Séquence 6//Romain_Perez/bienvenue.txt créé avec succès
[11/06/2026] Fichier /home/romain/Modules-CFC/M122/Séquence 6/Templates/charte.pdf copié avec succès
[11/06/2026] Fichier /home/romain/Modules-CFC/M122/Séquence 6/Templates/checklist.xlsx copié avec succès
[11/06/2026] Dossier /home/romain/Modules-CFC/M122/Séquence 6//Romain_Perez créé avec succès
[11/06/2026] Dossier /home/romain/Modules-CFC/M122/Séquence 6//Romain_Perez/Documents créé avec succès
[11/06/2026] Dossier /home/romain/Modules-CFC/M122/Séquence 6//Romain_Perez/Projets créé avec succès
[11/06/2026] Dossier /home/romain/Modules-CFC/M122/Séquence 6//Romain_Perez/Archives créé avec succès
[11/06/2026] Fichier /home/romain/Modules-CFC/M122/Séquence 6//Romain_Perez/bienvenue.txt créé avec succès
[11/06/2026] Fichier /home/romain/Modules-CFC/M122/Séquence 6/Templates/charte.pdf copié avec succès
[11/06/2026] Fichier /home/romain/Modules-CFC/M122/Séquence 6/Templates/checklist.xlsx copié avec succès
